identificacion_expediente,fecha_ingreso,area_emisora,genero_solicitante,referencia_expediente,area_responsable_respuesta,sintesis_respuesta,nombre_cargo_firmante_respuesta,fecha_respuesta
EXP-S04:0046171/2013,2013-09-28,Mesa General de Entradas,Masculino,Solicitud relacionada con el Registro Único de Desarmaderos de Automotores y Actividades Conexas (RUDAC),Subsecretaría de Coordinación y Control de Gestión Registral,Mediante Nota D.D-S04:3866/2013,,2012-10-12
EXP-S04:0051853/2013,2013-10-27,Mesa General de Entradas,Masculino,Solicitud relacionada con el Registro Nacional de Tierras Rurales,Subsecretaría de Coordinación y Control de Gestión Registral,Mediante Nota RNTR N° 016/2014,,2014-01-24
EXP-S04:0041950/2013,2013-11-06,Mesa General de Entradas,Masculino,"Solicitud Relacionada s/Cantidad de Personas que se encuentran prófugas de la Justicia, cant. de Unidades Penitencias Federales y su radicación, nivel de seguridad de cada una e ellas entre otros temas",Subsecretaría de Gestión Penitenciaria,Mediante Nota D.D.-S04:0062/2014,,2013-01-11
EXP-S04:0053446/2013,2013-11-07,Mesa General de Entradas,Femenino,Solicitud relacionada con el Cargo del Ex Juez  Baltazar Garzón en el Gobierno de la Rep. Arg..,Secretaría de Derechos Humanos,Mediante Nota -S04:94959/2013,,2013-11-23
EXP-S04:0053679/2013,2013-11-08,Mesa General de Entradas,Masculino,"Solicitud Relacionada Estadísticas en materia e Narcotráfico, convenios con la CSJN referidos a la prevención y combatir el narcotráfico, cantidad de vacantes que presentan los tribunales federales en los puntos de frontera  que tiene competencia con el delito del narcotráfico entre otros temas",Subsecretaría de Política Criminal,"Mediante Nota D.D.-S04:000358/2014                engo el agrado de dirigirme a usted, por indicación del señor Ministro en el marco del expediente de referencia, por medio del cual se tramita un pedido de acceso a la información pública, en virtud de Dec",LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2014-02-17
EXP-S04:0053898/2013,2013-11-09,Mesa General de Entradas,Masculino,Solicitud relacionada con el RENAR,Registro Nacional de Armas,Mediante Nota C.A.J N° 4797/2013,,2013-12-08
EXP-S04:0054106/2013,2013-11-10,Mesa General de Entradas,Femenino,Solicitud relacionada con la Ley N° 26.485,Secretaría de Justicia,Mediante Nota D.D.-S04:54106,,2013-12-04
EXP-S04:0054640/2013,2013-11-12,Servicio Penitenciario Federal,Femenino,"REMITE NOTA A FIN DE SOLICITAR LA INFORMACIÓN, EN EL MARCO DE LA VIGENCIA DEL DECRETO 1172/03, QUE SE REGULA AL ACCESO A LA INFORMACIÓN PUBLICA A NIVEL NACIONAL ",Ddespdsg Servicio Penitenciario Federal,,,
EXP-S04:0056864/2013,2013-11-22,Dirección de despacho - Mesas de Entradas e Información al Público,Masculino,"DECRETO N°1172/03, RELACIOANDO CON LA DECLARACION JURADA ORIGINAL DE 2012 DE LA SRA.PRESINTE DE LA NACION DRA.CRISTINA FERNANDEZ.= - EN EL MARCO DEL DECRETO N°1172/03 DE ACCESO A LA INFORMACIÓN PUBLICA, SOLICITA LA DECLARACION JURADA ORIGINAL CORRESPONDIENTE AL AÑO 2012, DE AL PRESIDENTA DE LA NACION ARGENTINA DRA.CRISTNA FERNANDEZ.=",Oficina Anticorrupción,Mediante Acta de Entrega,,2013-12-12
EXP-S04:0056764/2013,2013-11-24,Mesa General de Entradas,Femenino,Solicitud relacionada con EL Programa Nac. de y Acompañamiento a las Personas  Damnificadas por el Delito de Trata,Secretaría de Justicia,Mediante Note D.D.-S04:4156/2013,,2013-12-22
ACTU-S04:0114183/2013,2013-12-04,Mesa General de Entradas,Femenino,Solicitud relacionada con los informes presentados por el Gobierno de la Rep. Arg. ante el Comité c/la Desaparición Forzadas de Personas,Secretaría de Derechos Humanos,Mediante Nota S04:100.958/13,,2013-12-13
EXP-S04:0059497/2013,2013-12-11,Mesa General de Entradas,Masculino,Solicitud Relacionada con la cant. y nomina de los beneficiarios de indulto y/o conmutación de Penas desde el 10/121083 al 10/12/2007 y las fechas de cada beneficio,Secretaría de Justicia,"Mediante Nota D.D-S04:00125/2014                        Tengo el agrado de dirigirme a Usted, en el marco del expediente de referencia, por medio del cual se tramita un pedido de acceso a la información pública en virtud de Decreto Nº 1172/03, relacionado",LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2014-01-15
EXP-S04:0061618/2013,2013-12-21,Mesa General de Entradas,Masculino,"Solicitud relacionada con el Convenio entre el PEN, la Fundac. Madres de la Plazo de Mayo y la Universidad Popular Madres de Plaza de Mayo para la Creac. del Instituto Univers .Nac. de Derechos Humanos  Madres de Plaza de Mayo.",Secretaría de Derechos Humanos,Mediante Nota S04:1572/2014,,2014-01-10
ACTU-S04:0008915/2014,2014-02-05,dtecadn@minjus,,SOLICITUD DE INFORMACIÓN PUBLICA -DECRETO 1172/03 - SOLICITUD DE INFORMACIÓN PUBLICA - DECRETO 1172/03- REL. C/ EL CUMPLIMIENTO DE LA LEY 25607,usecdesp@minjus,,,
EXP-S04:0005907/2014,2014-02-06,Mesa General de Entradas,Masculino,Solicitud Relacionada con las posibles operaciones financieras ilegales vinculadas al ciudadano colombiano henry de Jesús lodoño alias mi sangre,Unidad de Información Financiera,Mediante Nota UIF N°93/14,,2014-02-06
EXP-S04:0011340/2014,2014-03-13,Dirección de despacho - Mesas de Entradas e Información al Público,Masculino,"DECRETO N°1172/03, RELACIONADO CON LOS CONVENIOS FIRMADOS ENTRE EL MINISTERIO Y LA UBA, SOBRE ASISTENCIA TECNICA Y/O PASANTIAS, DESDE EL 2003 A LA FECHA.= - EN EL MARCO DEL DECRETO N°1172/03 DE ACCESO A LA INFORMACIÓN PUBLICA, RELACIONADO CON LOS CONVENIOS EFECTUADOS ENTRE ESTA CARTERA DE ESTADO Y LA UNIVERSIDAD DE BUENOS AIRES, SOBRE ASISTENCIA TECNICA Y/O PASANTIAS, DES EL 2003 A LA FECHA.=",Jefatura de Gabinete,"NOTADD-S04:0000742/2014  Tengo el agrado de dirigirme a Usted, en el marco del expediente de referencia, por medio del cual se tramita un pedido de acceso a la información pública, en virtud de Decreto Nº 1172/03, con relación a los convenios de asistenci",LUIS CARLOS MOSQUERA - ENLACE TITULAR RESPONSABLE DE ACCESO A LA INFORMACION,2014-03-26
EXP-S04:0013506/2014,2014-03-20,Mesa General de Entradas,Masculino,Solicitud relacionada sobre investigación patrimonial del Dr. C. E. Liuzzi,Oficina Anticorrupción,Mediante Nota OA/DI N°560/14,Dra. Claudia  Sosa- Directora de Investigaciones OA,2014-04-03
EXP-S04:0014056/2014,2014-03-31,Mesa General de Entradas,Masculino,Solicitud relacionada con el procedimiento de tramitación de denuncias por incumplimiento de  las obligaciones previstas en el Reglamento Gral. del Acceso a la Información Pública para el PEN.=,Oficina Anticorrupción,Mediante  Nota OA/DPPT N°630/14 se informa cantidad de denuncias por incumplimiento recibidas al 01/01/2010. Asimismo se le recuerda que semestralmente se publica el informe de gestión en la pág www.anticorrupcion.gov.ar,Gerardo Serrano- Director de Planificación- Oficina Anticorrupción,2014-04-15
EXP-S04:0014574/2014,2014-04-03,Mesa General de Entradas,Femenino,"Solicitud relacionada sobre el contrato del Ex Juez Baltazar Garzón, Monto de sus Honorarios, tareas que desempeña",Secretaría de Derechos Humanos,"Mediante Nota-S04:26099/2014 informa sobre designación y funciones al cargo, del Dr. Baltazar Garzón- ",Dr. Juan Martín Fresneda - Secretario de DDHH- ,2014-04-08
EXP-S04:0019463/2014,2014-05-05,Oficina Anticorrupción,Masculino,SOLICITUD DE ACCESO A LA INFORMACIÓN FORMULADA POR MANUEL GARRIDO-SISA 11.376 DECRETO 1172/03 - ,Oficina Anticorrupción,,,
TRI-S04:0004259/2014,2014-05-05,Oficina Anticorrupción,Masculino,SOLICITUD DE ACCESO A LA INFORMACIÓN FORMULADA POR MANUEL GARRIDO- DECRETO 1172/03-SISA 11.377 -,Oficina Anticorrupción,,,
EXP-S04:0019451/2014,2014-05-05,Oficina Anticorrupción,Masculino,SOLICITUD DE ACCESO A LA INFORMACIÓN FORMULADO POR ROMINA COLMAN-SISA 11.375 - ,Oficina Anticorrupción,,,
EXP-S04:0019867/2014,2014-05-07,Mesa General de Entradas,Femenino,Solicitud relacionada con la inclusión social de los internos y los egresados de la Cárceles Federales,Subsecretaría de Relaciones con el Poder Judicial y Asuntos Penitenciarios,"Mediante Nota SsPJyAP N° 1524/14                        Se informa que el área que interviene en el tema planteado es la Dirección Nacional de Readaptación Social; explica la misión y finalidad de la DNRS y ofrece el N° de asistidos desde el año 2012,-",Dr. Franco Picardi,2014-05-27
EXP-S04:0020672/2014,2014-05-14,Mesa General de Entradas,Masculino,Solicitud relacionada con las actas de Directorio de la Firma Papel Prensa S.A.=,Subsecretaría de Coordinación y Control de Gestión Registral,Mediante Nota D.D-S04:1732/14,,2014-06-06
EXP-S04:0021763/2014,2014-05-19,Dirección de despacho - Mesas de Entradas e Información al Público,Femenino,"DECRETO N°1172/03, RELACIONADO CON MODO Y FORMA DE ADJUDICIACION DE NUMEROS DE DOMINIO DE LOS AUTOMOTORES, POR LOS REGISTROS DEL AUTOMOTOR; NORMATIVA Y CRITERIOS PARA LA ADJUDICACION DE REGISTROS DEL AUTOMOTOR, ENTRE OTROS TEMAS.= - EN EL MARCO DEL DECRETO N°1172/03 DE ACCESO A LA INFORMACIÓN PUBLICA, SOLICITA: MODO O FORMA DE ADJUDICIACION DE NUMEROS DE DOMINIO DE AUTOMOTORES, POR LOS REGISTROS DEL AUTOMOTOR, NORMATIVA Y CRITERIOS PARA LA ADJUDICACION DE REGISTROS DEL AUTOMOTOR; NOMINA DE LOS TIULARES DE LOS REGISTROS EN EL AMBITO DE LA CIUDAD AUTONOMA DE BUENOS AIRES; LISTADOS DE MONTOS QUE RECAUDAN CADA UNO DE LOS REGISTROS DEL AUTOMOTOR DE LA CABA ENTRE LOS AÑOS 2010 A 2013; EL MONTO QUE CORRESPONDE AL MINISTERIO Y DESTINO QUE SE LE ASIGNA A LOS MISMOS EN LOS AÑOS 2010 AL 2013 Y MONTOS QUE QUEDAN EN PODER DEL REGISTRO EN EL MISMO PERIODO.=",ssccogre@minjus,,,
EXP-S04:0025684/2014,2014-06-06,Mesa General de Entradas,Femenino,Solicitud relacionada con la Dirección Nacional del Programa de Protección al testigo e imputados,Secretaría de Justicia,Mediante Nota D.D-S04:2515/14,,2014-08-01
EXP-S04:0026683/2014,2014-06-09,Dirección de despacho - Mesas de Entradas e Información al Público,Masculino,"INTERPONE RECURSO DE RECONSIDERACION-SILENCIO INFERIOR JERARQUICO-SOLICITA AVOCACION.= - RMTE.NOTA INTERPONE RECURSO DE RECONSIDERACION-SILENCIO INFERIOR JERARQUICO-SOLICITA AVOCACION, A LA SOLICITUD DE ACCESO A LA INFORMACIÓN PUBLCIA EN EL MARCO DEL DECRETO N°1172/03.=",Dirección General de Asuntos Jurídicos, incumplimiento,,
EXP-S04:0028112/2014,2014-06-17,Dirección de despacho - Mesas de Entradas e Información al Público,Masculino,"DECRETO N°1172/03, RELACIONADO CON LOS MONTOS Y FECHAS DE SUBSIDIOS QUE SE HAYAN ENVIADO A LA MUNICIPALIDAD DE RUFINA-PCI.A .DE SANTA FE.= - EN EL MARCO DEL DECRETO N°1172/03 DE ACCESO A LA INFORMACIÓN PUBLICA: SOLICITA LOS MONTOS Y FECHA DE LOS SUBSIDIOS QUE SE HAYAN ENVIADO A LA MUNICIPALIDAD DE RUFINO, PCIA. DE SANTA FE, DURANTE LOS AÑOS 2012, 2013 Y 2014.=",Subsecretaría de Coordinación ,,,
EXP-S04:0028707/2014,2014-06-19,Dirección de despacho - Mesas de Entradas e Información al Público,Masculino,"EN EL MARCO DEL DECRETO N°1172/03 DE ACCESO A LA INFORMACIÓN, SOLICITA:LA CANTIDAD DE ARMAS DE FUEGO REGISTRADAS  EN EL RENAR Y CANTIDAD DE PERSONAS QUE CUENTAN CON PERMISO DE PORTACION EN TODO EL TERRITORIO NACIONAL.=",Registro Nacional de Armas,,,
EXP-S04:0028715/2014,2014-06-21,Mesa General de Entradas,Femenino,Solicitud relacionada con la investigac. sobre la pérdida o extravío de los exptes relacionados a la sociedades: Compañía de Valores Sudamericana(Ex-Ciccone Calcográfica S.A); The Old Fan S.A. y London Supply S.A.,Subsecretaría de Coordinación y Control de Gestión Registral,Mediante Nota D.D-S04:2504/14,,2014-08-03
EXP-S04:0044918/2014,2014-09-14,Mesa General de Entradas,Femenino,Solicitud relacionada con la Oficina de Monitoreo de Publicación de Avisos de Oferta Sexual,Secretaría de Justicia,Mediante Nota D.D-S04:3874/14,,2014-11-14
EXP-S04:0044834/2014,2014-09-14,Mesa General de Entradas,Femenino,Solicitud relacionada con el traslado de la unidad n°2 (Devoto),Subsecretaría de Relaciones con el Poder Judicial,"Mediante Nota D.D.-S04:0003150/2013.""Complete aquí""))",,2014-10-24
EXP-S04:0044910/2014,2014-09-14,Mesa General de Entradas,Femenino,Solicitud relacionada con  el Consejo Interministerial de Tierras Rurales,Ministerio de Justicia y Derechos Humanos,Mediante Nota D.D-S04:3751/2014,,2014-10-29
EXP-S04:0046228/2014,2014-09-19,Mesa General de Entradas,Femenino,Solicitud relacionada con la Oficina de Rescate y Acompañamiento a las Personas Damnificadas por el Delito de Trata._,Secretaría de Justicia,Mediante Nota D.D-S04:3597/2014,,2014-10-22
EXP-S04:0047457/2014,2014-09-25,Mesa General de Entradas,Femenino,Solicitud relacionada con Declaraciones Juradas Patrimoniales de los Funcionarios que no cumplieron con la Presentación de los años 2014 y 2013.=,Oficina Anticorrupción,Mediante Nota OA-DPPT N°1996/14.=,,2014-10-23
EXP-S04:0047461/2014,2014-09-25,Mesa General de Entradas,Femenino,Solicitud relacionada con trámites Reconstituidos en la IGJ.=,Secretaría de Asuntos Registrales,Mediante Nota D.-S04:3818/14,,2014-11-05
EXP-S04:0047463/2014,2014-09-25,Mesa General de Entradas,Femenino,"Solicitud relacionada las declaraciones Juradas Patrimoniales correspondientes a :R.Taihade, P.L.Larrañaga y Karina Bellizzi.de los años 2012/3.=",Oficina Anticorrupción,Mediante Nota OA/DPPT N° 1853/14,,2014-10-08
EXP-S04:0047460/2014,2014-09-25,Mesa General de Entradas,Femenino,Solicitud Relacionada con trámites reconstituidos en la IGJ.=,Secretaría de Asuntos Registrales,Mediante Nota D.D-S04:3873/14,,2014-11-14
EXP-S04:0047465/2014,2014-09-25,Mesa General de Entradas,Femenino,Solicitud relacionada con Resoluciones Particulares de la IGJ de los años 2012 y 2013.=,Secretaría de Asuntos Registrales,Mediante Nota D.D-S04:3752/2014,,2014-12-30
EXP-S04:0047458/2014,2014-09-25,Mesa General de Entradas,Femenino,Solicitud relacionada con la Oficina Anticorrupción s/Declaraciones Juradas,Oficina Anticorrupción,Mediante Nota OA-DPPT N°1998/14.=,,2014-10-23
EXP-S04:0052234/2014,2014-10-16,Mesa General de Entradas,Femenino,"Solicitud relacionada con los arts.9, 10,11 y 12 del Convenio N°169 s/los Pueblos Indígenas y Tribales en los paises INDEPENDIENTES DE LA OIT.",Secretaría de Derechos Humanos,Mediante Nota DNAJDH N°093/14,,2014-11-01
EXP-S04:0053248/2014,2014-10-22,Mesa General de Entradas,Femenino,Solicitud relacionada con la Trata de Blancas,Unidad Ministro,Mediante Nota D.D. N° S04:0004168/14,,2014-12-12
EXP-S04:0054462/2014,2014-10-25,Mesa General de Entradas,Femenino,Solicitud relacionada c/Resol. S.A.R. N° 006/007 y 014/2013.=,Secretaría de Asuntos Registrales,Mediante Nota D.D.-S04:4020/14,,2014-11-22
EXP-S04:0055324/2014,2014-10-27,Oficina Anticorrupción,Masculino,SOLICITUD DE ACCESO A LA INFORMACIÓN s/DECRETO 1172/03 POR PARTE DEL SR. CLAUDIO   MAZA,Oficina Anticorrupción,,,
EXP-S04:0057236/2014,2014-11-02,Mesa General de Entradas,Femenino,Solicitud relacionada con entidades inscriptas en la IGJ,Secretaría de Asuntos Registrales,Mediante Nota D.D. n° S04:0004176/14,,2014-12-11
EXP-S04:0060097/2014,2014-11-11,Dirección de despacho Mesas de Entradas he Información al Público,Femenino,"DECRETO N°1172/03, RELACIONADO A LAS COPIAS DE LOS EXPTES-S04:0053188/2012, 63237/12, 63238/12 y 63239/12.= - EN EL MARCO DEL DECRETO N°1172/03 DE ACCESO A LA INFORMACIÓN PUBLICA, SOLICITA: COPIA DE LOS EXP-S04:53188/2012, 63237/2012, 63238/2012 Y 63239/2012.=",sasureg@minjus,,,
EXP-S04:0059764/2014,2014-11-12,Mesa General de Entradas,Femenino,Solicitud relacionada con el Complejo Penitenciario Federal de Agote - Mercedes,Subsecretaría de Relaciones con el Poder Judicial,Mediante Nota SSRPJ Y AP N° 3613/14,,2014-12-05
EXP-S04:0060091/2014,2014-11-13,Mesa General de Entradas,Femenino,"Solicitud relacionada con las empresas Trenton Propietiers Ltd., Huston Management Ltd.(IGJ)",Secretaría de Asuntos Registrales,Mediante Nota D.D. n° S04:0004213/14,,2014-12-13
EXP-S04:0060088/2014,2014-11-13,Mesa General de Entradas,Femenino,Solicitud relacionada con el EXP-s04:12271/13 y Resol. SAR N°21/04,Secretaría de Asuntos Registrales,Mediante Nota D.D-S04:1719/15,,2015-05-01
EXP-S04:0061077/2014,2014-11-15,Mesa General de Entradas,Femenino,Solicitud relacionada con vistas legales y contables cursadas en el IGJ,Secretaría de Asuntos Registrales,Mediante Nota D.D.4317/14,,2014-12-17
EXP-S04:0065513/2014,2014-12-03,Mesa General de Entradas,Femenino,Solicitud relacionada con la plantad e personal de esta Cartera de Estado,Subsecretaría de Coordinación ,Mediante Nota D.D-s04:00000158/14,,2015-01-22
ACTU-S04:0118870/2014,2014-12-03,SUBSECRETARIA de RELACIONES CON EL Poder JUDICIAL Y ASUNTOS PENITENCIARIOS,,PRESENTACION EN LOS TERMINOS DEL DECRETO Nº 1172/03 PARA CONTRATAR LA EJECUCION DE LA OBRA COMPLEJO FEDERAL DE CONDENADOS DE AGOTE-MERCEDES-PROVINCIA DE BUENOS AIRES - ,Particular,,,
EXP-S04:0066221/2014,2014-12-06,Mesa General de Entradas,Masculino,"Solicitud relacionada con la Direc. Nac. de Mediación , CONSAVIG y Sec. de Justicia",Secretaría de Justicia,Mediante Nota D.D-S04:557/15,,2015-02-22
EXP-S04:0005736/2014,2014-12-13,Mesa General de Entradas,Femenino,"Solicitud relacionada con listado de exptes correlativos, tipo de tramite ingresado a la IGJ y pedido de informes, balances y todo tramite adm ingresado a dicho organismo.=",Secretaría de Asuntos Registrales,Mediante Nota D.D-S04:1716/15,,2015-05-01
EXP-S04:0067888/2014,2014-12-14,Mesa General de Entradas,Femenino,Solicitud relacionada con la RED DE LABORATORIOS REGIONALES DE INVESTIGACION FORENSE,Secretaría de Derechos Humanos,Mediante Nota de la SDDHH,,2015-01-18
TRI-S04:0013220/2014,2014-12-29,dadmges@minjus,Femenino,"DECRETO N° 1172/03 - Me dirijo a usted a fin DE remitir fotocopia Del Expediente DE la referencia mediante el cual la señora Amelie BROSSARD RUFFEY solicita información pública encuadrada en los alcances Del Decreto N° 1172/03, para la intervención DE su competencia. Se Deja constancia que las presentes actuaciones tienen su último vencimiento el día 7 DE enero DE 2015. Asimismo resulta necesario que, la información elaborada sea remitida a este área con una antelación DE 48 horas hábiles a su vencimiento para prosecución Del trámite pertinente. Saludo a usted atentamente. AL SEÑOR INTERVENTOR Del INSTITUTO NACIONAL CONTRA LA DISCRIMINACIÓN, LA XENOFOBIA Y EL RACISMO D.Pedro MOURATIAN S/D",dadmges@minjus,,,
